Stemmed Term,mean case doc freq over all A cases,median case doc freq over all A cases,SD of case doc freq over all A cases
review corrosionresist,0.015810359231411861,0.0,0.037563142922742716
review cover,0.018954985502973122,0.0,0.024032532572740416
review describ,0.017497184991464167,0.0,0.022031870769123916
review determin,0.054910817110978637,0.050000000000000003,0.043101688469460761
review doe,0.021243315022423923,0.0,0.023514917529131703
review dump,0.034275896476058006,0.041666666666666664,0.037075721501088933
review duti,0.034275896476058006,0.041666666666666664,0.037075721501088933
review fact,0.035821790195864768,0.041666666666666664,0.037901423495352159
review final,0.035211568990677886,0.041666666666666664,0.037699014612346433
review follow,0.038720340920502451,0.043478260869565216,0.036694382395131189
review ha,0.024752086952248478,0.028571428571428571,0.024004919868331358
review howev,0.038720340920502451,0.043478260869565216,0.036694382395131189
review identifi,0.028044012418086992,0.0,0.038344347175845957
review import,0.017909981689090585,0.0,0.022733140319225159
review includ,0.021418753618915147,0.0,0.023737571761286397
review inconsist,0.022964647338721913,0.0,0.025790165646326836
review initi,0.021243315022423923,0.0,0.023514917529131703
review investig,0.035821790195864768,0.041666666666666664,0.037901423495352159
review involv,0.013988413061639607,0.0,0.020278237235937805
review issu,0.025927610301684875,0.0,0.032357621462249422
review legal,0.035451419825494393,0.028571428571428571,0.042696577060624866
review list,0.016615440989515562,0.0,0.023784800339229067
review margin,0.021418753618915147,0.0,0.023737571761286397
review measur,0.024752086952248478,0.028571428571428571,0.024004919868331358
review moreov,0.021853536227610802,0.0,0.024192994774845815
review new,0.034275896476058006,0.041666666666666664,0.037075721501088933
review onli,0.026297980672055247,0.028571428571428571,0.025837773717867406
review order,0.019455875408897351,0.0,0.025085939820892418
review origin,0.017909981689090585,0.0,0.022733140319225159
review othermeasur,0.0,0.0,0.0
review panel,0.043482245682407217,0.043478260869565216,0.035988510183065349
review para,0.039331211531373055,0.043478260869565216,0.033846667048591815
review period,0.040466372666534196,0.041666666666666664,0.045888957694605964
review precis,0.051194565568640139,0.052631578947368418,0.033452996431824866
